# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Instrumentation  (Brown) 
"# Rows: 82, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 50 
MCR（RSHT-2）",Polishing,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-01,,,Control system,,,,,,,,,,,,,,,,,,,
IN-01-01,,DCS,"IO quantity:      AI (IS):136, AIr (IS):68,AOr (IS):72,DI(IS):3,DO (IS):2, DO (NIS):105  (20% spare included) 
Hardware ,software,configuration, logic programming, interface with existing control system, and  existing control system modification/upgrade, associated information management system  etc. to be included.",,Contractor,Point,232,232,,9.27504,2151.80928,408.4727616,94765.6806912,,0,46.6545114541177,10823.8466573553,72.6309191176471,16850.3732352941,527.758192171765,122439.900583849,
IN-01-01-0001,,DCS,"DCS power distribution panel, 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0002,,DCS,"DCS system cabinet of control station, 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0003,,DCS,"DCS marshalling cabinet for control staiton, 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0004,,DCS,"DCS server cabinet, 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0005,,DCS,"DCS network cabinet, 800Wx800Dx2000H (mm)",,,pcs,1,,0,0,0,,0,,0,,0,,0,0,0,Shall be deemed included in the IN-01-01
IN-01-01-0006,,DCS,"DCS operation station cabinet, 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0007,,DCS,"DCS operation station,",,,pcs,1,,0,0,0,,0,,0,,0,,0,0,0,Shall be deemed included in the IN-01-01
IN-01-01-0008,,DCS,"FGS operation station, ",,,pcs,1,,0,0,0,,0,,0,,0,,0,0,0,Shall be deemed included in the IN-01-01
IN-01-01-0009,,DCS,"DCS galaxy server station,",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0010,,DCS,"DCS historian station,",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0011,,DCS,"DCS console furniture,",,,pcs,2,,0,0,0,,0,,0,,0,,0,0,0,Shall be deemed included in the IN-01-01
IN-01-01-0012,,DCS,"DCS IRP (interface relay panel), 800Wx800Dx2000H (mm)",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0013,,DCS,"DCS A3 monochrome printer,",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-01-0014,,DCS,"DCS A4 color printer,",,,pcs,0,,0,0,0,,0,,0,,0,,0,0,0,
IN-01-02,,ESD,"IO quantity:     AIr (IS):39, DI (IS):32, DIr (IS):46,DIr (NIS):6, DOr (IS):16,DOr (NIS):70  (20% spare included) 
Hardware ,software,configuration, logic programming and etc. to be included.",,Contractor,Point,125,125,0,9.27504,1159.38,408.4727616,51059.0952,,0,46.6545114541177,5831.81393176471,72.6309191176471,9078.86488970589,527.758192171765,65969.7740214706,
IN-02,,,Instrumentation,,,,,,,0,,,,,,,,,,,,
IN-02-01,,,Analyzers,,,,0,,,0,0,,0,,0,,0,,0,0,0,
IN-02-02-0001,,Gas Detector,"  Detector (SO2) :
- Operating Principle:  Be solid state/ electrochemical cell type with electrodes.
- Measuring Range:  0-20 ppm
- Calibrated Gas : MFR.STD - Wiring System: 3-wire
- Accuracy : ±2% 
- Repeatability: ±2% of LFL
- LED Display : Tri-Colour LED (Normal, Fault,Alarm)
- Output : 4-20 mA with HART Protocol, with SIL II certification;
- House material:316SS
- Operating Voltage : 24VDC - Ingress Protection : IP66
- Response Time : T90 < 15 sec,  ExdIICT4, IEC Certificate,
with alarm light. with Sunshade, 2"" stand pipe mounting.",,,Set,0,,,0,0,,0,,0,,0,,0,0,0,
