# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: NDT(Green)
"# Rows: 35, Cols: 17"

,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
Item,Description,Unit,"Qty.
","MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,Remarks
No.,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,Q,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
A,NDT WORKS ,,,,,,,,,,,,,,,
1.1,Radiographic Test: measured by film sheet regardless radiation source,sheet,22000,0.759552,16710.144,33.45067008,735914.74176,,0,13.1865887472941,290104.95244047,14.8527058823529,326759.529411764,61.489964709647,1352779.22361223,
1.2,UT,Dia-In,600,0.736,441.6,32.41344,19448.064,,0,11.8781924705882,7126.91548235292,6.07169117647059,3643.01470588235,50.3633236470588,30217.9941882353,
1.3,PT,Dia-In,2400,0.368,883.2,16.20672,38896.128,,0,7.82806682352941,18787.3603764706,4.04779411764706,9714.70588235294,28.0825809411765,67398.1942588235,
1.4,MT,Dia-In,1800,0.368,662.4,16.20672,29172.096,,0,7.82806682352941,14090.5202823529,4.04779411764706,7286.02941176471,28.0825809411765,50548.6456941176,
1.5,PMI,Point,360,0.552,198.72,24.31008,8751.6288,,0,5.13610023529412,1848.99608470588,9.63375,3468.15,39.0799302352941,14068.7748847059,
B,"Pressure testing, flushing, drying and packaging of Valves",,,,,,,,,,,,,,,
2.1,NPS up to 2-1/2'',ea,28,1.628032,45.584896,71.69852928,2007.55881984,,0,24.8449888037647,695.659686505412,1.77563235294118,49.717705882353,98.3191504367059,2752.93621222776,
2.2,NPS from 3'' to 4'',ea,18,3.616704,65.100672,159.27964416,2867.03359488,,0,45.0302830945882,810.545095702588,2.07031176470588,37.2656117647058,206.380239019294,3714.84430234729,
2.3,NPS from 5'' to 9'',ea,32,7.449792,238.393344,328.08883968,10498.84286976,,0,77.8954553637647,2492.65457164047,44.3454735294118,1419.05515294118,450.329768573176,14410.5525943416,
2.4,NPS from 10'' to 12'',ea,22,12.471888,274.381536,549.26194752,12083.76284544,,0,120.304709775059,2646.7036150513,46.2506352941176,1017.51397647059,715.817292589177,15747.9804369619,
2.5,NPS from 14'' to 18'',ea,16,18.236608,291.785728,803.14021632,12850.24346112,,0,167.372768918588,2677.96430269741,72.4771029411765,1159.63364705882,1042.99008817976,16687.8414108762,
2.6,NPS from 20'' to 28'',ea,4,44.106272,176.425088,1942.44021888,7769.76087552,,0,448.425625773176,1793.7025030927,169.093091176471,676.372364705884,2559.95893582965,10239.8357433186,
C,Testing and calibriation of Pressure Safety Valve,,,,,,,,,,,,,,,
3.1,NPS up to 2-1/2'',ea,15,7.268,109.02,320.08272,4801.2408,,0,216.659702117647,3249.8955317647,273.684852941176,4105.27279411764,810.427275058823,12156.4091258823,
3.2,NPS from 3'' to 4'',ea,22,7.5992,167.1824,334.668768,7362.712896,,0,226.533021082353,4983.72646381177,286.152058823529,6295.34529411764,847.353847905882,18641.7846539294,
3.3,NPS from 5'' to 9'',ea,24,13.4412,322.5888,591.950448,14206.810752,,0,273.156096611765,6555.74631868236,299.185955882353,7180.46294117647,1164.29250049412,27943.0200118588,
3.4,NPS from 10'' to 12'',ea,20,18.92808,378.5616,833.5926432,16671.852864,,0,317.800249421176,6356.00498842352,312.827022058824,6256.54044117648,1464.21991468,29284.3982936,
3.5,NPS from 14'' to 18'',ea,10,30.06468,300.6468,1324.0485072,13240.485072,,0,400.155040785882,4001.55040785882,327.08875,3270.8875,2051.29229798588,20512.9229798588,
3.6,NPS from 20'' to 28'',ea,2,51.0462,102.0924,2248.074648,4496.149296,,0,547.944756023529,1095.88951204706,341.984632352941,683.969264705882,3138.00403637647,6276.00807275294,
,SUBTOTAL-NDT WORKS,,,,21367.827264,,941039.11270656,,0,,369318.787663631,,383023.466105881,,1693381.36647607,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
