# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Steel Structural (Brown)
"# Rows: 37, Cols: 20"

,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,QUANTITY,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,"UNIT 50 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
SS-00,,Structural Steel-Demolition and Modification,,,,,,,,,,,,,,,,,
SS-00-0001,Demolition,"Demolition of Steel Structures, from exsisting Plant (above10 kg/m, up to150 Kg/m)",,T,210,210,77.76,16329.6,3424.5504,719155.584,,0,536.749157647059,112717.323105882,841.941176470588,176807.647058823,4803.24073411765,1008680.55416471,
SS-00-0002,Modification and Installation,"Installation of Steel Structures, using exsisting steel dismantled from exsisting Plant (above10 kg/m, up to150 Kg/m)",,T,100,100,144,14400,6341.76,634176,,0,936.411294117647,93641.1294117647,1198.14705882353,119814.705882353,8476.31835294118,847631.835294118,
SS-00-0003,Medium sections (10- 50 kg/m)new,"HM HN HW TM TN TW Q355B GBT1591 or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed) /-----(GB and ASTM ,BS Optional quotation)",Contractor,T,43.3333333333333,43.3333333333333,134.784,5840.64,5935.88736,257221.7856,,0,826.741677176471,35825.4726776471,1126.90588235294,48832.5882352941,7889.53491952941,341879.846512941,
SS-00-0004,Heavy sections (50~150 kg/m),"HM HN HW TM TN TW Q355B GBT1591 and Welded section steel or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed ) / (GB and ASTM ,BS Optional quotation)",Contractor,T,43.3333333333333,43.3333333333333,129.6,5616,5707.584,247328.64,,0,790.9584,34274.864,1107.47647058824,47990.6470588237,7606.01887058824,329594.151058824,
SS-00-0005,Extra heavy built-up sections (greater than150 kg/m),"HM HN HW TM TN TW Q355B GBT1591 and Welded section steel or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed )  ----- (GB and ASTM ,BS Optional quotation)",Contractor,T,43.3333333333333,43.3333333333333,113.5296,4919.616,4999.843584,216659.88864,,0,676.1443584,29299.588864,924.84,40076.4,6600.8279424,286035.877504,
SS-01,,New Structural Steel Installation,,,,,0,,,,,,,,,,,,
SS-01-0001,Light sections (less than 10kg/m),"HM HN HW TM TN TW Q355B GBT1591 or ASTM GRADE A36 / A36M or S275JR TO BS EN 10025-1 T0 6
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed )  ----- (GB and ASTM ,BS Optional quotation)",Contractor,T,0,,0,0,,0,,0,,0,,0,0,0,
SS-01-0002,Medium sections (10- 50 kg/m),"HM HN HW TM TN TW Q355B GBT1591 or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed) /-----(GB and ASTM ,BS Optional quotation)",Contractor,T,143,143,112.32,16061.76,4946.5728,707359.9104,,0,688.951397647059,98520.0498635294,939.088235294118,134289.617647059,6574.61243294118,940169.577910588,
SS-01-0003,Roof,Prepainted profiled steel sheet (0.9mm thk.)  ；material requirements refer to AGES-SP-01-002 -Clause 12.2,Contractor,M2,0,,0,0,,0,,0,,0,,0,0,0,
SS-02,,Coating,,,,,0,,,,,,,,,,,,
SS-02-001,STEEL GALVANISED,"Min. weight of zinc：
Under 1.6 mm (1/16”) thick：320 grams/m2
1.6 mm (1/16”) to < 3.2 mm (1/8”) thick：460grams/m2
3.2 mm (1/8”) to 6.4 mm (1/4”) thick：530grams/m2
> = 6.4 mm (1/4”) thick：705grams/m2",Subcontractor,m2,100,100,3.024,302.4,133.17696,13317.696,12.9023898790769,1290.23898790769,24.1118136470588,2411.18136470588,15.8900205882353,1589.00205882353,186.081184114371,18608.1184114371,Quantity updated.
SS-02-002,STEEL PAINTING,"Primer Epoxy：40μm
Polyamide MIO epoxy：40μm
Modified aliphatic polyurethane：75μm,
Total  Dry Film Thickness Microns：150μm",Subcontractor,m2,100,100,3.456,345.6,152.20224,15220.224,14.6618066807692,1466.18066807692,28.1731651764706,2817.31651764706,15.8430661764706,1584.30661764706,210.88027803371,21088.027803371,Quantity updated.
,,Steel Structural (Brown) TOTAL,,,,,,63815.616,,2810439.72864,,2756.41965598461,,409506.925805177,,570984.914558824,,3793687.98865998,
NOTES:,,,,,,,,,,,,,,,,,,,
1,,"The unit price shall include, but not limited to labor, environmental protection, material, construction equipment, installation, measures and maintenance (including materials, equipment, apparatus, semi-finished products and finished products, etc.), quality assurance, inspection test, engineering insurance, risk capital, management, overhead and profit, taxes and duties as well as the terms stated in the contract, all expenses as prescribed by the government and policy documents, the various expenses derived from guaranteeing the construction period, quality, civilization construction and acceptance, moreover, all costs and expenses which may be set forth and/or implied all risk and responsibility in Contract agreement, bidding documents and IFC drawings.",,,,,,,,,,,,,,,,,
1.1,,"""Materials""includes the cost of all equipment and materials should be supplied by Subcontractor for the delivery and erection of equipment and materials that become a permanent part of WORK,and and all transportation, assessments and permit fees related to such equipment and materials.",,,,,,,,,,,,,,,,,
1.2,,"""Construction"" includes all labor required to complete WORK,all consumables required for temporary construction ,all consumables supplied by Subconstractor but not included in the Materials,all construction supplies and expendables,all construction tools and equipment,all field labor and supervision,and all transportation, assessments and permit fees related to such construction items.",,,,,,,,,,,,,,,,,
1.3,,"""Indirect Cost"" includes all costs which do not become a final part of the Project, but which are required for the orderly completion of the construction work and may include, but are not limited to, field administration, temporary facilities, subcontractor's fees, insurance, taxes, overhead and profit etc.",,,,,,,,,,,,,,,,,
2,,Above items of work are not exhaustive. And any work which is not mentioned above but needed for  completeness of the PLANT is deemed to have been included in above itemized activities.,,,,,,,,,,,,,,,,,
3,,"It should be filled strictly in accordance with the ""Bill of Quantities and Unit Price"", not allowed to add or delete the items, or change the order.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
