# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Steel Structural（Green）
"# Rows: 41, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,UNIT 10 Pipe Rack,"UNIT 10 
Others",UNIT 10 Substation,UNIT 10 LCR,"UNIT 10 
Operation Shelter",UNIT 20 Pipe Rack,UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
SS-01,,Structural Steel,,,,,,,,,,,,,,,,,,,,,,,
SS-01-0001,Light sections (less than 10kg/m),"HM HN HW TM TN TW Q355B GBT1591 or ASTM GRADE A36 / A36M or S275JR TO BS EN 10025-1 T0 6
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed )  ----- (GB and ASTM ,BS Optional quotation)",Contractor,T,218,3,200,,5,5,3,2,71.76,15643.68,3160.3104,688947.6672,,0,510.325157647059,111250.884367059,782.573529411765,170601.029411765,4453.20908705882,970799.580978824,
SS-01-0002,Medium sections (10- 50 kg/m),"HM HN HW TM TN TW Q355B GBT1591 or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed) /-----(GB and ASTM ,BS Optional quotation)",Contractor,T,754,184,200,41,5,5,221,98,69,52026,3038.76,2291225.04,,0,487.376,367481.504,769.080882352941,579886.985294117,4295.21688235294,3238593.52929412,
SS-01-0003,Heavy sections (50~150 kg/m),"HM HN HW TM TN TW Q355B GBT1591 and Welded section steel or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed ) / (GB and ASTM ,BS Optional quotation) ",Contractor,T,883,484,,,,,284,115,67.16,59302.28,2957.7264,2611672.4112,,0,468.478522352941,413666.535237647,755.588235294118,667184.411764706,4181.79315764706,3692523.35820235,
SS-01-0004,Extra heavy built-up sections (greater than150 kg/m),"HM HN HW TM TN TW Q355B GBT1591 and Welded section steel or ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2
 (All corrosion protection painting and gravaning is done in workshop, including primer, intermediate & top coat ---to be confirmed )  ----- (GB and ASTM ,BS Optional quotation)",Contractor,T,52,50,,,,,2,,62.56,3253.12,2755.1424,143267.4048,,0,426.631887058824,22184.8581270588,742.095588235294,38588.9705882353,3923.86987529412,204041.233515294,
SS-01-0005,Monorail of stacker/reclaimer,ASTM A501/A5O1M GRADE AOR B or S275J0H/ 5275J2H 0R 5355J0H/S355J2H TO BS EN 10210-1&2 Note (not inculded in CV packge in quote stage),Contractor,T,0,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,
SS-01-0006,Steel for Ladders &Cage& Miscelaneous&Stairs,"Ladder and rungs shall conform to BS EN 10025 Grade S275JR or ASTM Grade A36/A36M.Ladder rungs shall be of 20mm diameter, hot dip galvanized and detail refer to COMPANY standard drawing AGES-STD-01/----(GB and ASTM ,BS Optional quotation)",Contractor,T,31,8,,1,1,1,20,,87.4,2709.4,3849.096,119321.976,,0,643.968423529412,19963.0211294118,890.514705882353,27605.9558823529,5383.57912941177,166890.953011765,
SS-01-0007,Steel for Handrails,"Handrail shall be hot dip galvanized  as per ASTM A53 /A53M Grade B or ASTM A500 /A500M Grade B or BS EN10210 Grade S275 JR and size and detail as per COMPANY standard drawing AGES-STD-01-206/207--- (GB and ASTM ,BS Optional quotation)",Contractor,T,26.1696,2,,7,0,,8,9.1696,87.4,2287.22304,3849.096,100729.3026816,,0,643.968423529412,16852.3960563953,890.514705882353,23304.4136470588,5383.57912941177,140886.112385054,
