# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: UG PIP （Green）
"# Rows: 53, Cols: 22"

,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
Item,Category,Description,size,MATERIAL,Material Supplied By,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,GRE Pipe,,,,,,,,,,,,,,,,,,,
1.1,GRE Pipe,"3"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","3""",GRE,Contractor,LM,74,74,2.55918251490207,189.379506102753,112.706397956287,8340.27344876524,0,0,8.95990813310848,663.033201850027,2.07786764705882,153.762205882353,123.744173736454,9157.06885649762,
1.1,GRE Pipe,"4"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","4""",GRE,Contractor,LM,176.4,176.4,2.63230201532785,464.338075503833,115.926580755039,20449.4488451889,0,0,10.6320937436343,1875.50133637709,6.61139705882353,1166.25044117647,133.170071557497,23491.2006227424,
1.2,GRE Pipe,"6"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","6""",GRE,Contractor,LM,54.4,54.4,2.89553221686063,157.516952597218,127.519238830542,6937.04659238148,0,0,11.6953031179977,636.224489619075,7.27253676470588,395.626,146.487078713246,7968.89708200056,
1.3,GRE Pipe,"8"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","8""",GRE,Contractor,LM,488.4,488.4,3.05273914277604,1490.95779733182,134.442631847857,65661.7813944934,0,0,12.9179551218046,6309.12928148937,7.7447794117647,3782.55026470588,155.105366381426,75753.4609406886,
1.4,GRE Pipe,"10"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","10""",GRE,Contractor,LM,167.6,167.6,3.81592392847006,639.548850411582,168.053289809821,28165.731372126,0,0,16.1474439022558,2706.31159801807,7.93367647058823,1329.68417647059,192.134410182665,32201.7271466147,
1.5,GRE Pipe,"12"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","12""",GRE,Contractor,LM,822.8,822.8,4.88072665342038,4015.86189043429,214.947201816633,176858.557654726,0,0,19.2099483261258,15805.9454827363,7.93367647058823,6527.829,242.090826613347,199192.332137462,
1.6,GRE Pipe,"14"",Pipe ,ISO 14692/MFG STD ,PN20(Minimum) ,GRE EPOXY RESIN,ASTM D2996,TYPE 1,CLASS F ,Bell End x Spigot End","14""",GRE,Contractor,LM,59.4,59.4,5.1247629860914,304.410921373829,225.694561907465,13406.2569773034,0,0,20.5935751541968,1223.25836415929,8.72704411764706,518.386420588235,255.015181179309,15147.9017620509,
