# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: A.1-INDIRECTS BREAKDOWN
"# Rows: 58, Cols: 6"
# Internal revision: Rev.A

,,,,,
,,,,,
,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,REV.A DATE: 05/Sep/2025,,
,"LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR CIVIL AND BLDG WORKS PACKAGE I",,,,
SN,DESCRIPTION,Unit,TOTAL COST,,
,,,,,
I,INDIRECT COST:,,,,
,,,,,
A,FINANCIAL COST,,,,
A01,Performance and Guarantee Bonds costs and Finance costs (in accordance to contractual conditions).,Lump Sum,333000,,
A02,Insurances costs.,Lump Sum,1110000,,
A03,"Licenses, taxes and official permits.",Lump Sum,1237068,,
,TOTAL FINANCIAL COST,,,,
,,,,,
B,MOBILIZATION AND DEMOBILIZATION COST,,,,
B01,"Mobilization and settlement of all needed means, construction equipment,  transport to WORKSITE, preparation for use of means and equipment.",Lump Sum,329700,,
B02,"Demobilization after the completion of the WORK and with the previous approval of the CONTRACTOR, dismantle and transport to their original location all his means, construction equipment.",Lump Sum,219800,,
B03,Cleaning and clearance to restore Subcontractor area/s to its original state.,Lump Sum,465400,,
,TOTAL MOBILIZATION AND DEMOBILIZATION COST,,,,
,,,,,
C,TEMPORARY CONSTRUCTION FACILITIES COST,,,,
C01,"SUBCONTRACTOR TEMPORARY WORKSITE FACILITIES.
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Temporary Facilities on SITE, including (but not limited to) offices, first aid facilities, workshops, warehouses, dressing rooms, prayer rooms, toilets, canteen, resting shelters, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, drinking water, renting, insurances, etc.",Lump Sum,2585677,,
C02,"SUBCONTRACTOR TEMPORARY CAMP
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Site Temporary Camp including (but not limited to) dormitories, common buildings, sport facilities, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, renting, insurances, medical service, catering,etc.",Lump Sum,Included in direct,,
C03,"FIRST AID SERVICE
Medical services (doctor, nurse, ambulance, driver, first aiders, medical consumables, etc.)
Include mobilization, demobilization, travels, transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,71600,,
,TOTAL TEMPORARY CONSTRUCTION FACILITIES COST,,,,
,,,,,
D,RUNNING COST,,,,
D01,Security expenses,Lump Sum,60225,,
D02,Cleaning cost (including dumping fees of domestic wastes),Lump Sum,140525,,
D03,"Cranes, forklifts, trucks, and in general any mean, resource and equipment neccesary to manage workshop and lay down area, if any.",Lump Sum,,,
D04,"Any other required services (e.g. pest control, etc.)",Lump Sum,,,
,TOTAL RUNNING COST,,,,
,,,,,
E,INDIRECT PERSONNEL COST,,,,
E01,"SITE MANAGEMENT AND INDIRECT LABOUR
Management, administration personnel, construction supervisors,HSE personnel, QA/QC personnel, inspectors, material management, clerks, drivers, etc., that SUBCONTRACTOR might need to perform and complete the WORK and fulfil all SUBCONTRACTOR obligations under the SUBCONTRACT.
Include mobilization, demobilization, travels, block visas,transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,11502513,,
,TOTAL INDIRECT PERSONNEL COST,,,,
,,,,,
F,OTHER INDIRECT COST,,,,
F01,Other Indirect Cost Item – This shall cover any additional indirect costs not specifically itemized elsewhere,Lump Sum,,,
,TOTAL OTHER INDIRECT COST,,,,
,,,,,
,SUBTOTAL INDIRECT COST,,,,
,,,,,
II,OVERHEAD AND PROFIT COST:,,,,
,,,,,
G,HEAD OFFICE SUPPORT,,,,
G01,"- Head Office works to support the Project.
- Administration expenses (incl. permits, block visas, etc.).
- General Expenses related to the perform of the WORK that might be necessary to the correct perform of the WORK and the fulfillment of the SUBCONTRACTOR responsibilities included in the SUBCONTRACT.",Lump Sum,3225000,,
,TOTAL HEAD OFFICE SUPPORT,,,,
,,,,,
H,PROFIT,,,,
H01,- Profit,Lump Sum,4125000,,
,TOTAL PROFIT,,,,
,,,,,
,SUBTOTAL OVERHEAD AND PROFIT COST,,,,
,,,,,
,"TOTAL - LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR SUBCONTRACT WORKS",,25405508,,
