# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"
# Internal revision: Rev.A

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
1,"Flat Truck, 8T",14600,730,584
2,"Flat Truck, 11 T",16425,821.25,657
2,"Flat Truck, 17 T",21535,1076.75,861.4
3,"Flat Truck, 24 T",27010,1350.5,1080.4
3,"Flat Truck, 40 T",35770,1788.5,1430.8
4,"Dump Truck, 18 T, 6x4",32120,1606,1284.8
4,"Dump Truck, 25 T, Semitrailer",35770,1788.5,1430.8
5,"Dump Truck, 25-30 T, Articulated",42705,2135.25,1708.2
5,"Dump Truck, 35-40 T, Articulated",53655,2682.75,2146.2
6,"Jeep, 4x4",7300,365,292
6,"Pick Up, 4x4",7300,365,292
7,"Bus, 8 Seats",10950,547.5,438
7,"Bus, 12 Seats",14600,730,584
8,"Bus, 16 Seats, 4x4",21535,1076.75,861.4
8,"Bus, 25 Seats",24455,1222.75,978.2
9,"Bus, 50 Seats",32120,1606,1284.8
9,"Bus, 30-40 Seats, 6x6",35770,1788.5,1430.8
10,Lowbed Trailer 120 - 135 T + P.Mover,NA,NA,NA
10,"Lowbed Trailer, 60 T + P. Mover",NA,NA,NA
11,"Lowbed Trailer, 50 T + P Mover",NA,NA,NA
11,"Lowbed Trailer, 40 T + P Mover",NA,NA,NA
12,"Lowbed Trailer, 30 T  + P Mover",NA,NA,NA
12,"Lowbed Trailer, 20 T  + P Mover",NA,NA,NA
13,"Pipe Trailer, 8,5 T + P Mover",NA,NA,NA
13,"Pipe Trailer, 30 T + P Mover",NA,NA,NA
14,"Flat Trailer, 24 T, 12 m + P Mover",NA,NA,NA
14,"Flat Trailer, 32T, 12 m + P Mover ",NA,NA,NA
15,"Tank Trailer, 20 M3 + P Mover",NA,NA,NA
15,"Tank Trailer, 25 M3",32120,1606,1284.8
16,"Tank Truck, 10 M3",21535,1076.75,861.4
16,"Workshop Truck, large",35770,1788.5,1430.8
17,"Workshop Truck, small",28835,1441.75,1153.4
17,"Truck, 100 kw, 4 T crane",42705,2135.25,1708.2
18,"Truck, 90 kw, 4 T crane",39420,1971,1576.8
18,"Tank Truck, 4 M3",16425,821.25,657
19,"Tank Truck, 3 M3",14600,730,584
19,"Farm Tractor, 50 kw",16425,821.25,657
20,Grease Truck,16425,821.25,657
20,Desert Truck,16425,821.25,657
21,Desert Truck+Trailer,21535,1076.75,861.4
21,"Excavator, Mini, 50 kw",53655,2682.75,2146.2
22,"Excavator, Cat 215 / Cat 320 B",50005,2500.25,2000.2
22,"Excavator, Cat 225 / Cat 240 C",42705,2135.25,1708.2
23,Excavator Cat 235,39420,1971,1576.8
23,Excavator Komatsu PC 400,56940,2847,2277.6
24,Excavator Cat 245,50005,2500.25,2000.2
24,Dozer Cat D5,27010,1350.5,1080.4
25,Dozer Cat D6 / Komatsu D 65,32120,1606,1284.8
25,Dozer Cat D7 / Komatsu D 85,37595,1879.75,1503.8
26,Dozer Cat D8 / Komatsu D 155,42705,2135.25,1708.2
26,Dozer Cat D9 / Komatsu D 355,32120,1606,1284.8
27,Ripper Dozer D 8 K,32120,1606,1284.8
27,Wheelloader Cat 920,37595,1879.75,1503.8
28,Wheelloader Cat 930,42705,2135.25,1708.2
28,Wheelloader Cat 936 / Cat 950,50005,2500.25,2000.2
29,Wheelloader Cat 966,53655,2682.75,2146.2
29,Wheelloader Furukawa FL 330 II,39420,1971,1576.8
30,Wheeltractor Cat 814 B,39420,1971,1576.8
30,Wheeltractor Cat 824 B,39420,1971,1576.8
31,Wheeltractor Cat 834 B,39420,1971,1576.8
31,Backhoe Loader Cat 416 / ICB 3C,32120,1606,1284.8
32,Grader Cat 120 G,27010,1350.5,1080.4
32,Grader Cat 14 G,27010,1350.5,1080.4
33,Grader Cat 16 G,27010,1350.5,1080.4
33,"Vibratory Roller, 13 T",32120,1606,1284.8
34,"Vibratory Roller, 8 - 10 T",27010,1350.5,1080.4
34,"Vibratory Roller, 1,5 T",21535,1076.75,861.4
