# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: A-Summary
"# Rows: 26, Cols: 8"

,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-,,,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,REV.A DATE: 05/Sep/2025,,,,
0.SUBCONTRACT PRICE SUMMARY,,,,,,,
,,,,,,,
SN.,DESCRIPTION ,MANHOURS,SUBTOTAL COST,,,,
I.DIRECT COST,,,136714001.741363,,,,
1,Plot Plan (Green)-Paving Inside Packgae Battery Limit,108146.7528,10891592.8246597,,,,
2,PLOT PLAN (Brown),26444.2959187742,1980750.59233056,,,,
3,CIVIL（Green）,1294874.62425,98531438.0433964,,,,
4,CIVIL（Brown),325511.0844,19834666.160814,,,,
5,BLDG （Green),21915.8411253454,1703102.93882937,,,,
6,UG PIP （Green）CIVIL Part,45561.3506526483,3772451.1813332,,,,
7,UG PIP （Brown）CIVIL Part,,"Unit Price only,total price based on the actual quantity of work",,,,
8,CMS (Green),,,,,,
II.INDIRECT LS COST,,,25405508,,,,
,,,,,,,
,TOTA SUBCONTRACT PRICE,,162119509.741363,,,,205000000.083987
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
