# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: Labor Rates
"# Rows: 98, Cols: 4"

,,,PART II EXHIBIT D CONTRACT PRICE
,,,APPENDIX D-3 ALL INCLUSIVE LABOR RATES
,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CONTRACT NO. :XXXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,
All Inclusive Labor Rates,,,
CLASS,Classification of Labour,"RATE
 (AED/HR)","OVERTIME RATE
 (AED/HR)"
A,WELDING,,
1,Foreman/Supt/Trade Foreman,65.7,88.695
2,Welder API,80.3,108.405
3,Welder,73,98.55
4,Fabricator,58.4,78.84
5,Welder's Assistant,41.975,56.66625
,,,
B,ELECTRICAL,,
1,Foreman/Supt/Trade Foreman,65.7,88.695
2,Electrician,63.875,86.23125
3,Electrician's Assistant,41.975,56.66625
4,Electrical Fitter,58.4,78.84
,,,
C,INSTRUMENTATION,,
1,Foreman/Supt/Trade Foreman,65.7,88.695
2,Fitter,63.875,86.23125
3,Fitter's Assistant,41.975,56.66625
4,Instrumentation Fitter,58.4,78.84
,,,
D,CONCRETING,,
1,Foreman/Supt/Trade Foreman,63.875,86.23125
2,Concretors (Operating Tools),54.75,73.9125
3,Concreting Labourers,45.625,61.59375
,,,
E,CARPENTRY/FORMWORK,,
1,Foreman/Supt/Trade Foreman,63.875,86.23125
2,Carpenter,54.75,73.9125
3,Carpenter's Assistant,45.625,61.59375
,,,
F,STEEL FIXING,,
1,Foreman/Supt/Trade Foreman,63.875,86.23125
2,Steel Fixer,54.75,73.9125
3,Bending Machine/Cutting Machine Operator,54.75,73.9125
4,Steel Fixer's Assistant,45.625,61.59375
,,,
G,BRICKWORK/MASONRY,,
1,Foreman/Supt/Trade Foreman,63.875,86.23125
2,Mason,54.75,73.9125
3,Mason's Assistant,45.625,61.59375
,,,
H,MECHANICAL/PIPING,,
1,Foreman,65.7,88.695
2,Millwright,58.4,78.84
3,Pipe Layer/Fitter/Fabricator,58.4,78.84
4,Pipe Layer/Fitter's Assistant,41.975,56.66625
,,,
I,STEEL WORK (STRUCTURAL),,
1,Foreman,65.7,88.695
2,Steel Erector,58.4,78.84
3,Fabricator,58.4,78.84
4,Structural Welder,73,98.55
5,Rigger,146,197.1
6,Erector/Fabricator's Assistant,41.975,56.66625
,,,
J,PAINTING,,
1,Foreman,65.7,88.695
2,Painter (incl. Spray Painter),58.4,78.84
3,Painter's Assistant,41.975,56.66625
4,Sand Blaster,58.4,78.84
,,,
K,PLUMBING/GLAZING,,
1,Foreman,63.875,86.23125
2,Plumber/Glazier,54.75,73.9125
3,Plumber's/Glazier's Assistant,45.625,61.59375
,,,
L,HVAC,,
1,Foreman,63.875,86.23125
2,Fitter,54.75,73.9125
3,Fitter's Assistant,45.625,61.59375
,,,
M,EXCAVATION,,
1,Ganger,54.75,73.9125
2,Timberman,54.75,73.9125
3,Timberman's Assistant,45.625,61.59375
,,,
N,GENERAL,,
1,Inspector,58.4,78.84
2,Scaffolder,58.4,78.84
3,Insulator,58.4,78.84
4,Laboratory Technician,65.7,88.695
5,General Labourer,38.325,51.73875
,,,
O,OTHERS (BIDDER to specify),,
,,,
Special Notes:,,,
"
1.The labor rales included herein are based on the straight time hours based on sixty (60) hours per week, consisting of ten (10) hours/day, Saturday through Monday, but are also applicable to any additional and/or nighttime hours worked.


",,,
"2.The labor rates are ""all-in"" rales and include wages, insurance, benefits, taxes, social burdens, board and lodging, transportation costs, recruitment costs, payroll burdens, vacation pay, holiday pay, sick pay, overheads and profits, hand tools (such as grinder, cutter, drill, chain block, and the like),consumables, general and administrative expenses as per Wison/ADNOC's policy, mobilization and demobilization to and from the Site/office, idle time, stand by time and shall apply regardless of the working location of category of manpower. ",,,
"3.For Subcontractor's and its low tier subcontractor's personnel, the labor rates above shall be deemed to include all wages, payroll burdens, benefits, applicable home office and field overheads (including computers, communications and reprographics, elc.mobilizalion and demobilization, site accommodation, meals, travel & transporlalion and related expenses, whether direct or indirect.",,,
"4.In case Wison requires Subcontractor to supply material as requested,a markup percentage of 5% (five percent) will be added to the net cost (delivered to site) of the materials supplied by the Subcontractor.",,,
"5. VAT will be excluded in the proposal and submit together with the inovice, which is required to be approved by Wison.",,,
,,,
