# Source: Att 02_BOQ - Civil - BLDG Pkg III.xlsx
# Sheet: Labor Rates
"# Rows: 98, Cols: 6"
# Internal revision: Rev.A

,,,PART II EXHIBIT D CONTRACT PRICE,,
,,,APPENDIX D-3 ALL INCLUSIVE LABOR RATES,,
,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CONTRACT NO. :XXXXXX,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,
All Inclusive Labor Rates,,,,,
CLASS,Classification of Labour,"RATE
 (AED/HR)","OVERTIME RATE
 (AED/HR)",,
A,WELDING,,,,
1,Foreman/Supt/Trade Foreman,91.25,123.1875,,
2,Welder API,127.75,172.4625,,
3,Welder,109.5,147.825,,
4,Fabricator,73,98.55,,
5,Welder's Assistant,60.225,81.30375,,
,,,,,
B,ELECTRICAL,,,,
1,Foreman/Supt/Trade Foreman,91.25,123.1875,,
2,Electrician,82.125,110.86875,,
3,Electrician's Assistant,60.225,81.30375,,
4,Electrical Fitter,73,98.55,,
,,,,,
C,INSTRUMENTATION,,,,
1,Foreman/Supt/Trade Foreman,91.25,123.1875,,
2,Fitter,82.125,110.86875,,
3,Fitter's Assistant,60.225,81.30375,,
4,Instrumentation Fitter,73,98.55,,
,,,,,
D,CONCRETING,,,,
1,Foreman/Supt/Trade Foreman,82.125,110.86875,,
2,Concretors (Operating Tools),67.525,91.15875,,
3,Concreting Labourers,56.575,76.37625,,
,,,,,
E,CARPENTRY/FORMWORK,,,,
1,Foreman/Supt/Trade Foreman,82.125,110.86875,,
2,Carpenter,67.525,91.15875,,
3,Carpenter's Assistant,56.575,76.37625,,
,,,,,
F,STEEL FIXING,,,,
1,Foreman/Supt/Trade Foreman,82.125,110.86875,,
2,Steel Fixer,67.525,91.15875,,
3,Bending Machine/Cutting Machine Operator,67.525,91.15875,,
4,Steel Fixer's Assistant,56.575,76.37625,,
,,,,,
G,BRICKWORK/MASONRY,,,,
1,Foreman/Supt/Trade Foreman,82.125,110.86875,,
2,Mason,67.525,91.15875,,
3,Mason's Assistant,56.575,76.37625,,
,,,,,
H,MECHANICAL/PIPING,,,,
1,Foreman,91.25,123.1875,,
2,Millwright,73,98.55,,
3,Pipe Layer/Fitter/Fabricator,73,98.55,,
4,Pipe Layer/Fitter's Assistant,60.225,81.30375,,
,,,,,
I,STEEL WORK (STRUCTURAL),,,,
1,Foreman,91.25,123.1875,,
2,Steel Erector,73,98.55,,
3,Fabricator,73,98.55,,
4,Structural Welder,109.5,147.825,,
5,Rigger,200.75,271.0125,,
6,Erector/Fabricator's Assistant,60.225,81.30375,,
,,,,,
J,PAINTING,,,,
1,Foreman,91.25,123.1875,,
2,Painter (incl. Spray Painter),73,98.55,,
3,Painter's Assistant,60.225,81.30375,,
4,Sand Blaster,73,98.55,,
,,,,,
K,PLUMBING/GLAZING,,,,
1,Foreman,82.125,110.86875,,
2,Plumber/Glazier,67.525,91.15875,,
3,Plumber's/Glazier's Assistant,56.575,76.37625,,
,,,,,
L,HVAC,,,,
1,Foreman,82.125,110.86875,,
2,Fitter,67.525,91.15875,,
3,Fitter's Assistant,56.575,76.37625,,
,,,,,
M,EXCAVATION,,,,
1,Ganger,67.525,91.15875,,
2,Timberman,67.525,91.15875,,
3,Timberman's Assistant,56.575,76.37625,,
,,,,,
N,GENERAL,,,,
1,Inspector,73,98.55,,
2,Scaffolder,73,98.55,,
3,Insulator,73,98.55,,
4,Laboratory Technician,91.25,123.1875,,
5,General Labourer,54.75,73.9125,,
,,,,,
O,OTHERS (BIDDER to specify),,,,
,,,,,
Special Notes:,,,,,
"
1.The labor rales included herein are based on the straight time hours based on sixty (60) hours per week, consisting of ten (10) hours/day, Saturday through Monday, but are also applicable to any additional and/or nighttime hours worked.


",,,,,
"2.The labor rates are ""all-in"" rales and include wages, insurance, benefits, taxes, social burdens, board and lodging, transportation costs, recruitment costs, payroll burdens, vacation pay, holiday pay, sick pay, overheads and profits, hand tools (such as grinder, cutter, drill, chain block, and the like),consumables, general and administrative expenses as per Wison/ADNOC's policy, mobilization and demobilization to and from the Site/office, idle time, stand by time and shall apply regardless of the working location of category of manpower. ",,,,,
"3.For Subcontractor's and its low tier subcontractor's personnel, the labor rates above shall be deemed to include all wages, payroll burdens, benefits, applicable home office and field overheads (including computers, communications and reprographics, elc.mobilizalion and demobilization, site accommodation, meals, travel & transporlalion and related expenses, whether direct or indirect.",,,,,
"4.In case Wison requires Subcontractor to supply material as requested,a markup percentage of 5% (five percent) will be added to the net cost (delivered to site) of the materials supplied by the Subcontractor.",,,,,
"5. VAT will be excluded in the proposal and submit together with the inovice, which is required to be approved by Wison.",,,,,
,,,,,
