# Source: Att 02_BOQ - Civil - BLDG Pkg III.xlsx
# Sheet: UG PIP （Green）
"# Rows: 30, Cols: 21"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,size,MATERIAL,Unit,"Qty.
",QUANTITIES BY WBS,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,,"UNIT 10 
General",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,Q,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Civil Part,,,,,,,,,,,,,,,,,,
1.1,Sleeve(end seal with bands),"8"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,20,20,5.9613453815261,119.226907630522,192.566359186747,3851.32718373494,328.859644087907,6577.19288175814,33.3197095366761,666.394190733522,44.0147058823529,880.294117647058,598.760418693683,11975.2083738737,
1.2,Sleeve(end seal with bands),"10"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,20,20,7.3474001507159,146.948003014318,237.3393933685,4746.78786737,466.169040713437,9323.38081426874,41.2682584556053,825.365169112106,55.2867647058824,1105.73529411765,800.063457243425,16001.2691448685,
1.3,Sleeve(end seal with bands),"12"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,20,20,8.61592564682241,172.318512936448,278.315938206481,5566.31876412962,571.049179443319,11420.9835888664,46.1457305288355,922.91461057671,62.1573529411765,1243.14705882353,957.668201119812,19153.3640223962,
1.4,Sleeve(end seal with bands),"14"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,15,15,9.94724943481537,149.208741522231,321.321024868123,4819.81537302185,628.631833603552,9429.47750405328,56.7642146150095,851.463219225143,76.9720588235294,1154.58088235294,1083.68913191021,16255.3369786532,
1.5,Sleeve(end seal with bands),"20"" carbon steel, material of pipe shall confirm to API 5L-B or equivalent",,,M,15,15,13.8533031901532,207.799547852298,447.496326299924,6712.44489449886,905.464530575793,13581.9679586369,74.7465441730573,1121.19816259586,105.85,1587.75,1533.55740104877,23003.3610157316,
1.6,MANHOLE,"1200x1000x2000 manhole, 30mm THK. HEAVY DUTY STEEL GRATING ，see AGES-STD-01-005",,,EA,2,2,40,80,1292.1,2584.2,6610,13220,83.8125882352941,167.625176470588,1545.88235294118,3091.76470588236,9531.79494117647,19063.5898823529,
1.7,MANHOLE,"1200x1000x3000 manhole, 30mm THK. HEAVY DUTY STEEL GRATING ,see AGES-STD-01-005",,,EA,1,1,50,50,1615.125,1615.125,8260,8260,109.596617647059,109.596617647059,2061.17647058824,2061.17647058824,12045.8980882353,12045.8980882353,
