# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: A-Summary
"# Rows: 22, Cols: 4"

,,,
,,,
,,,
,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,REV.A DATE: 05/Sep/2025
0.SUBCONTRACT PRICE SUMMARY,,,
,,,
SN.,DESCRIPTION ,MANHOURS,SUBTOTAL COST
I.DIRECT COST,,,34379570.6726245
1,PLOT PLAN（Green)-Paving inside Package Battery Limits,81519.3669048,7769242.09283646
2,CIVIL（Green）,243628.35002,17344398.0349064
3,BLDG （Green）,95748.407485682,8087459.52710084
4,UG PIP （Green）,15190.2717129558,1178471.01778079
II.INDIRECT LS COST,,,8500919.67
,,,
,TOTA SUBCONTRACT PRICE,,42880490.3426245
,,,
,,,
,,,
,,,
,,,
