# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: A.1-INDIRECTS BREAKDOWN
"# Rows: 58, Cols: 4"

,,,
,,,
,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,REV.A DATE: 05/Sep/2025
,"LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE",,
SN,DESCRIPTION,Unit,TOTAL COST
,,,
I,INDIRECT COST:,,
,,,
A,FINANCIAL COST,,
A01,Performance and Guarantee Bonds costs and Finance costs (in accordance to contractual conditions).,Lump Sum,96300
A02,Insurances costs.,Lump Sum,321000
A03,"Licenses, taxes and official permits.",Lump Sum,484102
,TOTAL FINANCIAL COST,,
,,,
B,MOBILIZATION AND DEMOBILIZATION COST,,
B01,"Mobilization and settlement of all needed means, construction equipment,  transport to WORKSITE, preparation for use of means and equipment.",Lump Sum,85800
B02,"Demobilization after the completion of the WORK and with the previous approval of the CONTRACTOR, dismantle and transport to their original location all his means, construction equipment.",Lump Sum,57200
B03,Cleaning and clearance to restore Subcontractor area/s to its original state.,Lump Sum,125500
,TOTAL MOBILIZATION AND DEMOBILIZATION COST,,
,,,
C,TEMPORARY CONSTRUCTION FACILITIES COST,,
C01,"SUBCONTRACTOR TEMPORARY WORKSITE FACILITIES.
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Temporary Facilities on SITE, including (but not limited to) offices, first aid facilities, workshops, warehouses, dressing rooms, prayer rooms, toilets, canteen, resting shelters, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, drinking water, renting, insurances, etc.",Lump Sum,1032775
C02,"SUBCONTRACTOR TEMPORARY CAMP
Mobilization, construction, running cost, operation and maintenance, and demobilization at the finalization of SUBCONTRACTOR Site Temporary Camp including (but not limited to) dormitories, common buildings, sport facilities, urbanization, etc., and others required as per specification or applicable laws. Networks, telecom, drainage, power supply, water supply and disposal, firefighting system, renting, insurances, medical service, catering,etc.",Lump Sum,0
C03,"FIRST AID SERVICE
Medical services (doctor, nurse, ambulance, driver, first aiders, medical consumables, etc.)
Include mobilization, demobilization, travels, transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,18300
,TOTAL TEMPORARY CONSTRUCTION FACILITIES COST,,0
,,,0
D,RUNNING COST,,0
D01,Security expenses,Lump Sum,36135
D02,Cleaning cost (including dumping fees of domestic wastes),Lump Sum,72270
D03,"Cranes, forklifts, trucks, and in general any mean, resource and equipment neccesary to manage workshop and lay down area, if any.",Lump Sum,0
D04,"Any other required services (e.g. pest control, etc.)",Lump Sum,0
,TOTAL RUNNING COST,,0
,,,0
E,INDIRECT PERSONNEL COST,,0
E01,"SITE MANAGEMENT AND INDIRECT LABOUR
Management, administration personnel, construction supervisors,HSE personnel, QA/QC personnel, inspectors, material management, clerks, drivers, etc., that SUBCONTRACTOR might need to perform and complete the WORK and fulfil all SUBCONTRACTOR obligations under the SUBCONTRACT.
Include mobilization, demobilization, travels, block visas,transport, accommodation, catering, cleaning, social insurances, etc.",Lump Sum,4580593.92
,TOTAL INDIRECT PERSONNEL COST,,0
,,,0
F,OTHER INDIRECT COST,,0
F01,Other Indirect Cost Item – This shall cover any additional indirect costs not specifically itemized elsewhere,Lump Sum,0
,TOTAL OTHER INDIRECT COST,,0
,,,0
,SUBTOTAL INDIRECT COST,,0
,,,0
II,OVERHEAD AND PROFIT COST:,,0
,,,0
G,HEAD OFFICE SUPPORT,,0
G01,"- Head Office works to support the Project.
- Administration expenses (incl. permits, block visas, etc.).
- General Expenses related to the perform of the WORK that might be necessary to the correct perform of the WORK and the fulfillment of the SUBCONTRACTOR responsibilities included in the SUBCONTRACT.",Lump Sum,493750
,TOTAL HEAD OFFICE SUPPORT,,0
,,,0
H,PROFIT,,0
H01,- Profit,Lump Sum,1097193.75
,TOTAL PROFIT,,
,,,
,SUBTOTAL OVERHEAD AND PROFIT COST,,
,,,
,"TOTAL - LUMP SUM FOR INDIRECT COSTS, OVERHEAD AND PROFIT FOR SUBCONTRACT WORKS",,8500919.67
