# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 210, Cols: 25"

,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,
0.1,Demolition and Modification,Reuse the original antistatic floors,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.2,Demolition and Modification,Reuse the original ceiling,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.3,Demolition and Modification,Repair original  wall (due to the modification work),m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.4,Demolition and Modification,Remove the existing  green field,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.5,Demolition and Modification,Remove the existing floor finish,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.6,Demolition and Modification,Remove the existing wall fininsh,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.7,Demolition and Modification,Remove the existing ceiling,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.8,Demolition and Modification,Remove the existing partition wall,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.9,Demolition and Modification,Remove the existing door of pantry,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.10,Demolition and Modification,Remove facilities in the existing locker room,set,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.11,Demolition and Modification,Remove facilities in the existing pantry,set,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.12,Demolition and Modification,Removal the existing exteiror concrete block and curtain wall,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.13,Demolition and Modification,Add opening(800X400mm) on the existing exteiror concrete block and curtain wall,set,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.14,Demolition and Modification,Add opening(1200X600mm) on the existing exteiror concrete block and curtain wall,set,0,,,,,,,,,0,,0,,0,,0,,0,,0,
0.15,Demolition and Modification,Repair of damaged curtain walls and support systems,m2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
,,......,,,,,,,,,,,0,,0,,0,,0,,0,,0,
NO.1,,Floor,,,,,,,,,,,,,,,,,,,,,,
1.1,Floor,ground floor: 0.25 thk. polythene sheet,M2,3,1,1,1,,,,,0.1,0.3,3.23025,9.69075,2.875,8.625,0.467951470588235,1.4038544117647,1.76058823529412,5.28176470588236,8.33378970588235,25.0013691176471,
1.2,Floor,100 thk. grade slab,M2,3,1,1,1,,,,,1.5,4.5,48.45375,145.36125,42.4,127.2,6.63280147058824,19.8984044117647,3.86470588235294,11.5941176470588,101.351257352941,304.053772058824,
1.3,Floor,150mm thk.grave filling,M2,1522,,1522,,,,,,0.3,456.6,9.69075,14749.3215,25.3125,38525.625,1.04153823529412,1585.22119411765,2.17389705882353,3308.67132352941,38.2186852941176,58168.8390176471,
1.4,Floor,25 thk.non slip granite (1500x1000mm); 20mm cement mortar,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.5,Floor,250mm thk.pebble filling,M2,254.5,,254.5,,,,,,0.625,159.0625,20.1890625,5138.11640625,25.3125,6442.03125,2.13967830882353,544.548129595588,3.62316176470588,922.094669117647,51.2644025735294,13046.7904549632,
1.6,Floor,600*600*10mm thk. Non slip vitrified floor tile; 20mm cement mortar,M2,20,,,20,,,,,3.5,70,113.05875,2261.175,169.6,3392,13.7213161764706,274.426323529412,2.14705882352941,42.9411764705882,298.527125,5970.5425,
1.7,Floor,acid resistant ceramic tile(300x300mm) 20mm cement mortar,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
