# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
1,"Flat Truck, 8T",22630,1131.5,905.2
2,"Flat Truck, 11 T",25550,1277.5,1022
2,"Flat Truck, 17 T",33945,1697.25,1357.8
3,"Flat Truck, 24 T",42340,2117,1693.6
3,"Flat Truck, 40 T",56210,2810.5,2248.4
4,"Dump Truck, 18 T, 6x4",50735,2536.75,2029.4
4,"Dump Truck, 25 T, Semitrailer",56210,2810.5,2248.4
5,"Dump Truck, 25-30 T, Articulated",67525,3376.25,2701
5,"Dump Truck, 35-40 T, Articulated",83950,4197.5,3358
6,"Jeep, 4x4",11680,584,467.2
6,"Pick Up, 4x4",11680,584,467.2
7,"Bus, 8 Seats",17155,857.75,686.2
7,"Bus, 12 Seats",22630,1131.5,905.2
8,"Bus, 16 Seats, 4x4",33945,1697.25,1357.8
8,"Bus, 25 Seats",37960,1898,1518.4
9,"Bus, 50 Seats",50735,2536.75,2029.4
9,"Bus, 30-40 Seats, 6x6",56210,2810.5,2248.4
10,Lowbed Trailer 120 - 135 T + P.Mover,NA,NA,NA
10,"Lowbed Trailer, 60 T + P. Mover",NA,NA,NA
11,"Lowbed Trailer, 50 T + P Mover",NA,NA,NA
11,"Lowbed Trailer, 40 T + P Mover",NA,NA,NA
12,"Lowbed Trailer, 30 T  + P Mover",NA,NA,NA
12,"Lowbed Trailer, 20 T  + P Mover",NA,NA,NA
13,"Pipe Trailer, 8,5 T + P Mover",NA,NA,NA
13,"Pipe Trailer, 30 T + P Mover",NA,NA,NA
14,"Flat Trailer, 24 T, 12 m + P Mover",NA,NA,NA
14,"Flat Trailer, 32T, 12 m + P Mover ",NA,NA,NA
15,"Tank Trailer, 20 M3 + P Mover",NA,NA,NA
15,"Tank Trailer, 25 M3",50735,2536.75,2029.4
16,"Tank Truck, 10 M3",33945,1697.25,1357.8
16,"Workshop Truck, large",56210,2810.5,2248.4
17,"Workshop Truck, small",44895,2244.75,1795.8
17,"Truck, 100 kw, 4 T crane",67525,3376.25,2701
18,"Truck, 90 kw, 4 T crane",61685,3084.25,2467.4
18,"Tank Truck, 4 M3",25550,1277.5,1022
19,"Tank Truck, 3 M3",22630,1131.5,905.2
19,"Farm Tractor, 50 kw",25550,1277.5,1022
20,Grease Truck,25550,1277.5,1022
20,Desert Truck,25550,1277.5,1022
21,Desert Truck+Trailer,33945,1697.25,1357.8
21,"Excavator, Mini, 50 kw",83950,4197.5,3358
22,"Excavator, Cat 215 / Cat 320 B",78475,3923.75,3139
22,"Excavator, Cat 225 / Cat 240 C",67525,3376.25,2701
23,Excavator Cat 235,61685,3084.25,2467.4
23,Excavator Komatsu PC 400,89790,4489.5,3591.6
24,Excavator Cat 245,78475,3923.75,3139
24,Dozer Cat D5,42340,2117,1693.6
25,Dozer Cat D6 / Komatsu D 65,50735,2536.75,2029.4
25,Dozer Cat D7 / Komatsu D 85,59130,2956.5,2365.2
26,Dozer Cat D8 / Komatsu D 155,67525,3376.25,2701
26,Dozer Cat D9 / Komatsu D 355,50735,2536.75,2029.4
27,Ripper Dozer D 8 K,50735,2536.75,2029.4
27,Wheelloader Cat 920,59130,2956.5,2365.2
28,Wheelloader Cat 930,67525,3376.25,2701
28,Wheelloader Cat 936 / Cat 950,78475,3923.75,3139
29,Wheelloader Cat 966,83950,4197.5,3358
29,Wheelloader Furukawa FL 330 II,61685,3084.25,2467.4
30,Wheeltractor Cat 814 B,61685,3084.25,2467.4
30,Wheeltractor Cat 824 B,61685,3084.25,2467.4
31,Wheeltractor Cat 834 B,61685,3084.25,2467.4
31,Backhoe Loader Cat 416 / ICB 3C,50735,2536.75,2029.4
32,Grader Cat 120 G,42340,2117,1693.6
32,Grader Cat 14 G,42340,2117,1693.6
33,Grader Cat 16 G,42340,2117,1693.6
33,"Vibratory Roller, 13 T",50735,2536.75,2029.4
34,"Vibratory Roller, 8 - 10 T",42340,2117,1693.6
