# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 83, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Earth Work,,,,,,,,,,,,,,,,,,,,,,,
1.1,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,4850.5,4850.5,,,,,,,0.2332,1131.1366,7.532943,36538.5400215,0,0,0.389787536470588,1890.66444565059,17.8656764705882,86657.4637205881,25.7884070070588,125086.668187739,
1.2,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m(Slope or Shoring is included in the sub contractor's scope,Subgrade is also included,Minor rock breaking works are also included.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,3646.5,3646.5,,,,,,,0.814,2968.251,26.294235,95881.9279275,0,0,1.1418222,4163.6546523,37.8848529411765,138147.11625,65.3209101411765,238192.6988298,
1.3,Earth Work,EXCAVATION BY HAND,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.4,Earth Work,"EXCAVATION BY EQUIPMENT up to 2m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.5,Earth Work,"EXCAVATION BY EQUIPMENT 2m to 4m
(WITHOUT SHORING AS NEEDED)",,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
1.6,Earth Work,"BACKFILL - GENERAL BACKFILL 
As per AGES-SP-01-005(Including all testing and corresponding construction works.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,8486.5,8486.5,,,,,,,0.88,7468.12,28.4262,241238.9463,49.921875,423661.9921875,1.05161223529412,8924.50723482355,9.125,77439.3125,88.5246872352941,751264.758222324,
1.7,Earth Work,"BACKFILL - STRUCTURAL BACKFILL
As per AGES-SP-01-005(Including all testing and corresponding construction works.)","AGES-SP-01-006  Site Preparation, Earthworks and Bund Construction Specification",M3,3000,3000,,,,,,,1.32,3960,42.6393,127917.9,49.921875,149765.625,1.33587423529412,4007.62270588236,14.4926470588235,43477.9411764705,108.389696294118,325169.088882353,
